"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
6,1 Jan 2026 19:15:58.808,1 Jan 2026 19:24:24.524,505.716
7,1 Jan 2026 21:00:27.048,1 Jan 2026 21:04:28.612,241.564
8,1 Jan 2026 22:40:40.921,1 Jan 2026 22:48:51.034,490.113

Statistics
"Min Duration",7,1 Jan 2026 21:00:27.048,1 Jan 2026 21:04:28.612,241.564
"Max Duration",2,1 Jan 2026 02:06:21.364,1 Jan 2026 02:18:57.145,755.782
"Mean Duration",,,,559.228
"Total Duration",,,,4473.822


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:01:36.650,1 Jan 2026 00:12:28.286,651.636
2,1 Jan 2026 01:41:14.016,1 Jan 2026 01:54:03.842,769.826
3,1 Jan 2026 03:23:00.640,1 Jan 2026 03:31:54.814,534.174
4,1 Jan 2026 15:28:25.828,1 Jan 2026 15:39:22.273,656.445
5,1 Jan 2026 17:07:30.713,1 Jan 2026 17:20:13.904,763.191
6,1 Jan 2026 18:49:55.965,1 Jan 2026 18:59:37.436,581.472
7,1 Jan 2026 20:34:33.506,1 Jan 2026 20:39:06.940,273.434
8,1 Jan 2026 22:15:52.168,1 Jan 2026 22:22:39.464,407.296
9,1 Jan 2026 23:55:04.135,2 Jan 2026 00:00:00.000,295.865

Statistics
"Min Duration",7,1 Jan 2026 20:34:33.506,1 Jan 2026 20:39:06.940,273.434
"Max Duration",2,1 Jan 2026 01:41:14.016,1 Jan 2026 01:54:03.842,769.826
"Mean Duration",,,,548.149
"Total Duration",,,,4933.337


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:16:13.399,1 Jan 2026 01:28:57.751,764.352
2,1 Jan 2026 02:57:08.189,1 Jan 2026 03:07:57.937,649.748
3,1 Jan 2026 15:04:26.533,1 Jan 2026 15:13:32.090,545.557
4,1 Jan 2026 16:42:23.668,1 Jan 2026 16:55:13.733,770.065
5,1 Jan 2026 18:24:02.872,1 Jan 2026 18:34:49.917,647.045
6,1 Jan 2026 20:08:23.379,1 Jan 2026 20:14:05.032,341.653
7,1 Jan 2026 21:50:58.617,1 Jan 2026 21:56:25.397,326.780
8,1 Jan 2026 23:30:15.429,1 Jan 2026 23:40:50.664,635.234

Statistics
"Min Duration",7,1 Jan 2026 21:50:58.617,1 Jan 2026 21:56:25.397,326.780
"Max Duration",4,1 Jan 2026 16:42:23.668,1 Jan 2026 16:55:13.733,770.065
"Mean Duration",,,,585.054
"Total Duration",,,,4680.436


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:51:17.791,1 Jan 2026 01:03:39.567,741.776
2,1 Jan 2026 02:31:38.001,1 Jan 2026 02:43:36.211,718.211
3,1 Jan 2026 14:41:15.111,1 Jan 2026 14:46:55.445,340.333
4,1 Jan 2026 16:17:29.339,1 Jan 2026 16:30:06.983,757.645
5,1 Jan 2026 17:58:20.642,1 Jan 2026 18:10:00.834,700.192
6,1 Jan 2026 19:42:09.284,1 Jan 2026 19:49:12.790,423.506
7,1 Jan 2026 21:25:53.784,1 Jan 2026 21:30:17.368,263.584
